"Treatment","Rep","Day","GPP","AS","Nuts","Lake.ID","DOC","DOC2","GPPpre","meso"
"A",1,2,6.41175607588219e-07,1,0,1,7.87392295683958,61.9986627302454,69.9571968371661,"A1"
"A",1,3,69.211014388332,1,0,1,8.1826810294469,66.9562688296702,6.41175607588219e-07,"A1"
"A",1,4,80.8678843508698,1,0,1,8.49143910205422,72.1045380238954,69.211014388332,"A1"
"A",1,5,81.6409151315494,1,0,1,8.80019717466153,77.4434703129208,80.8678843508698,"A1"
"A",1,6,50.5442973003137,1,0,1,9.10895524726885,82.9730656967467,81.6409151315494,"A1"
"A",1,7,1.27775684587795e-07,1,0,1,9.41771331987617,88.693324175373,50.5442973003137,"A1"
"A",1,8,70.8111315257768,1,0,1,9.72647139248349,94.6042457487997,1.27775684587795e-07,"A1"
"A",1,9,2.05956744796699e-06,1,0,1,10.0352294650908,100.705830417027,70.8111315257768,"A1"
"A",1,10,26.2822679853877,1,0,1,9.96763756211398,99.3537985696655,2.05956744796699e-06,"A1"
"A",1,11,102.867083970833,1,0,1,9.90004565913715,98.0109040530003,26.2822679853877,"A1"
"A",1,12,96.9648941369638,1,0,1,9.83245375616032,96.6771468670312,102.867083970833,"A1"
"A",1,13,93.5683785038186,1,0,1,9.76486185318349,95.3525270117581,96.9648941369638,"A1"
"A",1,14,2.80901032575896,1,0,1,9.69726995020666,94.0370444871811,93.5683785038186,"A1"
"A",1,15,160.350294543688,1,0,1,9.62967804722983,92.7306992933001,2.80901032575896,"A1"
"A",1,16,94.5689813598894,1,0,1,9.562086144253,91.4334914301152,160.350294543688,"A1"
"A",1,17,55.8295206861004,1,0,1,9.82704956005265,96.570903055731,94.5689813598894,"A1"
"A",1,18,160.028494883531,1,0,1,10.0920129758523,101.848725904771,55.8295206861004,"A1"
"A",1,19,117.534366933942,1,0,1,10.3569763916519,107.266959977235,160.028494883531,"A1"
"A",1,20,233.278128102628,1,0,1,10.6219398074516,112.825605273125,117.534366933942,"A1"
"A",1,21,288.125294164399,1,0,1,10.8869032232512,118.524661792437,233.278128102628,"A1"
"A",1,22,310.265808876285,1,0,1,11.1518666390509,124.364129535176,288.125294164399,"A1"
"A",1,23,143.49104235312,1,0,1,11.4168300548505,130.344008501338,310.265808876285,"A1"
"A",1,24,213.849634294935,1,0,1,11.9419945863005,142.61123469923,143.49104235312,"A1"
"A",1,25,233.711399822145,1,0,1,12.4671591177504,155.430056467307,213.849634294935,"A1"
"A",1,26,242.429155481106,1,0,1,12.9923236492003,168.800473805569,233.711399822145,"A1"
"A",1,27,81.0212502112995,1,0,1,13.5174881806502,182.722486714018,242.429155481106,"A1"
"A",1,28,153.124213416337,1,0,1,14.0426527121002,197.196095192655,81.0212502112995,"A1"
"A",1,29,143.564642953372,1,0,1,14.5678172435501,212.221299241476,153.124213416337,"A1"
"A",1,30,88.9506259567674,1,0,1,15.092981775,227.798098860482,143.564642953372,"A1"
"A",1,31,96.2160456040519,1,0,1,15.7334977221429,247.542950572676,88.9506259567674,"A1"
"A",1,32,7.61091687420891e-06,1,0,1,16.3740136692857,268.108323641955,96.2160456040519,"A1"
"A",1,33,0.883909911758824,1,0,1,17.0145296164286,289.494218068326,7.61091687420891e-06,"A1"
"A",1,34,110.166430068136,1,0,1,17.6550455635714,311.700633851782,0.883909911758824,"A1"
"A",1,35,88.4184212060619,1,0,1,18.2955615107143,334.727570992331,110.166430068136,"A1"
"A",1,36,48.962991226539,1,0,1,18.9360774578571,358.575029489964,88.4184212060619,"A1"
"A",1,37,212.729737269966,1,0,1,19.576593405,383.24300934469,48.962991226539,"A1"
"A",1,38,48.4106586714079,1,0,1,20.2609187471429,410.504828478327,212.729737269966,"A1"
"A",1,39,136.342692423162,1,0,1,20.9452440892857,438.703249959758,48.4106586714079,"A1"
"A",1,40,177.09885985169,1,0,1,21.6295694314286,467.838273788991,136.342692423162,"A1"
"A",1,41,109.403396410058,1,0,1,22.3138947735714,497.909899966017,177.09885985169,"A1"
"A",1,42,35.866477466901,1,0,1,22.9982201157143,528.918128490846,109.403396410058,"A1"
"A",1,43,1.42987482421928e-06,1,0,1,23.6825454578571,560.862959363468,35.866477466901,"A1"
"A",1,44,9.79790739424198e-07,1,0,1,24.3668708,593.744392583893,1.42987482421928e-06,"A1"
"A",1,45,8.62844961820207e-06,1,0,1,24.5182074371429,601.14249593077,9.79790739424198e-07,"A1"
